Species,Family,SVL,TL,Weight,Zone,Year of sampling,Soil moisture,Soil pH,Temperature,Humidity,Season,Duration_of_sampling,Method
Ingerophrynus parvus,Bufonidae,37.14,16,5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,34,14.5,3.5,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
Ingerophrynus parvus,Bufonidae,36.91,15,8.09,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,27,12,4,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,45,18,16,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Ingerophrynus parvus,Bufonidae,24.25,11.13,11.5,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,21,9,11,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,30,14,12,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,27.79,12.86,12.03,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Ingerophrynus parvus,Bufonidae,20.71,9.4,10.97,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,66,39,33,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,70,41,47,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,69,40.8,32,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,69.5,40.6,43,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,67.5,41,30,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,18,9,0.5,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,81,46,55,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,48,25,13.38,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,56,30,27.6,Protected,2019,3.086,5.974,28.11,81.99,Wet,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,43.2,23.7,20.6,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,55.41,30.53,32.52,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,30.99,16.87,8.68,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,25,13,6,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,57,30,39,Disturbed,2019,3.086,5.974,28.11,81.99,Dry,612,Random walks along built-up and vegetated area
Fejervarya limnocharis,Dicroglossidae,73.27,39.23,46.08,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya limnocharis,Dicroglossidae,21,12,4,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya limnocharis,Dicroglossidae,95,91,73,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya limnocharis,Dicroglossidae,32,17.3,4.52,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya limnocharis,Dicroglossidae,20,11,1.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya limnocharis,Dicroglossidae,45,24,6.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,39,20.63,14.06,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya moodiei,Dicroglossidae,15,9,1,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya moodiei,Dicroglossidae,85,42,56.5,Controlled,2017,2.803,6.4,27.775,82.038,Wet,480,Line transects in streams and trails
Fejervarya moodiei,Dicroglossidae,26.7,13.7,2.68,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,16,8,0.35,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,32,17,3.85,Moderately disturbed,2015,N/a,N/a,N/a,N/a,Wet,312,"Line transects in streams, trails and swamps"
Fejervarya moodiei,Dicroglossidae,11,5,1,Protected,2016,2.192,6.018,24.196,78.244,Wet,604,"Line transects in streams, trails and swamps"
